Serial,Link,Error
100,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FFZuKCDtN1H%2FqBe9XDRw8Q%3D%3D,failed after 3 attempts: Forbidden domain
112,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SuUjl3EDlvcoDAasXX5LaSQ%3D%3D,failed after 3 attempts: Forbidden domain
4,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SX32i3NnddBcNm%2FhyUeGtTA%3D%3D,failed after 3 attempts: Forbidden domain
105,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShgT7OGGDmQY2e9yGYIxpvA%3D%3D,failed after 3 attempts: Forbidden domain
66,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNM0jg7R3z7Nn2QZGCCvohg%3D%3D,failed after 3 attempts: Forbidden domain
107,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Srzlp2NrDYkeH%2F07bRSSkXQ%3D%3D,failed after 3 attempts: Forbidden domain
103,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5rT6QS6zSCe1iqwTKxbaWQ%3D%3D,failed after 3 attempts: Forbidden domain
60,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8LKG2E7xvdeo8LZP%2FcgsAA%3D%3D,failed after 3 attempts: Forbidden domain
117,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpksTvfxImRGWHDdcqitZXg%3D%3D,failed after 3 attempts: Forbidden domain
97,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8cmSYOxZr2ZJD4CRv2ulnw%3D%3D,failed after 3 attempts: Forbidden domain
5,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRHum9iBnnAGbwb0bBVIxKQ%3D%3D,failed after 3 attempts: Forbidden domain
14,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S00VmW5A6l7a4v%2FccF7bSXg%3D%3D,failed after 3 attempts: Forbidden domain
73,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8BFH41eYyiJo6mpqr4kMKA%3D%3D,failed after 3 attempts: Forbidden domain
10,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPaboxvzOsDnXVYa%2BD2UxhQ%3D%3D,failed after 3 attempts: Forbidden domain
37,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrmojNmhv8HgvnIJH2Cg0kA%3D%3D,failed after 3 attempts: Forbidden domain
120,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVShgNuF%2F5B5jYVd9gQhNKw%3D%3D,failed after 3 attempts: Forbidden domain
23,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8u3J3zhTpKEAnRIyuNX7%2Bg%3D%3D,failed after 3 attempts: Forbidden domain
